     #Energy           s           p           d       tot  
     0.86041    -0.00014    -0.02685    -0.01233    -0.03932
     0.87041    -0.00013    -0.02508    -0.01141    -0.03662
     0.88041    -0.00012    -0.02242    -0.01061    -0.03315
     0.89041    -0.00011    -0.01908    -0.01023    -0.02942
     0.90041    -0.00009    -0.01544    -0.01064    -0.02617
     0.91141    -0.00008    -0.01193    -0.01215    -0.02416
     0.92141    -0.00007    -0.00892    -0.01490    -0.02389
     0.93141    -0.00007    -0.00662    -0.01876    -0.02546
     0.94141    -0.00007    -0.00506    -0.02321    -0.02834
     0.95141    -0.00008    -0.00408    -0.02747    -0.03163
     0.96141    -0.00008    -0.00348    -0.03065    -0.03421
     0.97141    -0.00008    -0.00303    -0.03203    -0.03514
     0.98141    -0.00008    -0.00261    -0.03126    -0.03395
     0.99141    -0.00007    -0.00216    -0.02848    -0.03071
     1.00141    -0.00006    -0.00170    -0.02422    -0.02598
     1.01141    -0.00005    -0.00128    -0.01928    -0.02061
     1.02141    -0.00004    -0.00095    -0.01446    -0.01546
     1.03141    -0.00004    -0.00075    -0.01037    -0.01116
     1.04141    -0.00004    -0.00067    -0.00737    -0.00808
     1.05141    -0.00004    -0.00071    -0.00559    -0.00635
     1.06141    -0.00005    -0.00083    -0.00495    -0.00583
     1.07141    -0.00006    -0.00097    -0.00527    -0.00631
     1.08141    -0.00007    -0.00110    -0.00630    -0.00748
     1.09141    -0.00008    -0.00117    -0.00776    -0.00900
     1.10141    -0.00008    -0.00116    -0.00931    -0.01055
     1.11141    -0.00008    -0.00107    -0.01063    -0.01178
     1.12141    -0.00007    -0.00092    -0.01142    -0.01241
     1.13141    -0.00006    -0.00074    -0.01147    -0.01227
     1.14141    -0.00005    -0.00056    -0.01075    -0.01135
     1.15141    -0.00004    -0.00039    -0.00936    -0.00979
     1.16141    -0.00003    -0.00026    -0.00758    -0.00786
     1.17141    -0.00002    -0.00016    -0.00568    -0.00586
     1.18141    -0.00001    -0.00010    -0.00395    -0.00406
     1.19141    -0.00001    -0.00005    -0.00254    -0.00260
     1.20141    -0.00000    -0.00003    -0.00151    -0.00154
     1.21141    -0.00000    -0.00001    -0.00083    -0.00085
     1.22141    -0.00000    -0.00001    -0.00042    -0.00043
     1.23141    -0.00000    -0.00000    -0.00020    -0.00020
     1.24141    -0.00000    -0.00000    -0.00009    -0.00009
     1.25141    -0.00000    -0.00000    -0.00003    -0.00004
     1.26141    -0.00000    -0.00000    -0.00001    -0.00001
     1.27141    -0.00000    -0.00000    -0.00000    -0.00000
     1.28141    -0.00000    -0.00000    -0.00000    -0.00000
     1.29141    -0.00000    -0.00000    -0.00000    -0.00000
     1.30141    -0.00000    -0.00000    -0.00001    -0.00001
     1.31141    -0.00000    -0.00000    -0.00002    -0.00002
     1.32141    -0.00000    -0.00000    -0.00007    -0.00007
     1.33141    -0.00000    -0.00001    -0.00017    -0.00018
     1.34141    -0.00000    -0.00003    -0.00041    -0.00043
     1.35141    -0.00000    -0.00006    -0.00091    -0.00097
     1.36141    -0.00000    -0.00012    -0.00186    -0.00198
     1.37141    -0.00000    -0.00022    -0.00353    -0.00375
     1.38141    -0.00000    -0.00038    -0.00618    -0.00656
     1.39141    -0.00000    -0.00062    -0.00999    -0.01061
     1.40141    -0.00000    -0.00092    -0.01491    -0.01583
     1.41141    -0.00000    -0.00127    -0.02054    -0.02181
     1.42141    -0.00000    -0.00162    -0.02614    -0.02776
     1.43141    -0.00000    -0.00191    -0.03074    -0.03265
     1.44141    -0.00000    -0.00208    -0.03339    -0.03547
     1.45141    -0.00000    -0.00211    -0.03353    -0.03564
     1.46141    -0.00000    -0.00199    -0.03118    -0.03317
     1.47141    -0.00000    -0.00178    -0.02691    -0.02869
     1.48141    -0.00000    -0.00154    -0.02167    -0.02321
     1.49141    -0.00000    -0.00132    -0.01648    -0.01781
     1.50141    -0.00000    -0.00118    -0.01206    -0.01324
     1.51141    -0.00000    -0.00112    -0.00878    -0.00990
     1.52141    -0.00000    -0.00111    -0.00659    -0.00770
     1.53141    -0.00000    -0.00111    -0.00524    -0.00635
     1.54141    -0.00000    -0.00108    -0.00438    -0.00546
     1.55141    -0.00000    -0.00101    -0.00371    -0.00472
     1.56141    -0.00000    -0.00088    -0.00308    -0.00396
     1.57141    -0.00000    -0.00071    -0.00244    -0.00315
     1.58141    -0.00000    -0.00054    -0.00181    -0.00235
     1.59141    -0.00000    -0.00037    -0.00125    -0.00163
     1.60141    -0.00000    -0.00025    -0.00081    -0.00106
     1.61141    -0.00000    -0.00016    -0.00049    -0.00065
     1.62141    -0.00000    -0.00013    -0.00029    -0.00042
     1.63141    -0.00000    -0.00016    -0.00019    -0.00035
     1.64141    -0.00000    -0.00025    -0.00018    -0.00043
     1.65141    -0.00000    -0.00044    -0.00025    -0.00069
     1.66141    -0.00000    -0.00074    -0.00039    -0.00113
     1.67141    -0.00001    -0.00116    -0.00060    -0.00177
     1.68141    -0.00001    -0.00170    -0.00088    -0.00258
     1.69141    -0.00001    -0.00229    -0.00119    -0.00348
     1.70141    -0.00001    -0.00284    -0.00149    -0.00435
     1.71141    -0.00002    -0.00327    -0.00176    -0.00504
     1.72141    -0.00002    -0.00347    -0.00197    -0.00545
     1.73141    -0.00002    -0.00340    -0.00216    -0.00558
     1.74141    -0.00002    -0.00308    -0.00245    -0.00554
     1.75141    -0.00001    -0.00258    -0.00301    -0.00560
     1.76141    -0.00001    -0.00199    -0.00405    -0.00605
     1.77141    -0.00001    -0.00143    -0.00576    -0.00720
     1.78141    -0.00001    -0.00096    -0.00823    -0.00920
     1.79141    -0.00001    -0.00062    -0.01135    -0.01197
     1.80141    -0.00001    -0.00039    -0.01481    -0.01521
     1.81141    -0.00001    -0.00028    -0.01816    -0.01845
     1.82141    -0.00001    -0.00024    -0.02094    -0.02120
     1.83141    -0.00001    -0.00027    -0.02282    -0.02310
     1.84141    -0.00002    -0.00034    -0.02372    -0.02408
     1.85141    -0.00002    -0.00044    -0.02383    -0.02429
     1.86141    -0.00002    -0.00057    -0.02345    -0.02404
     1.87141    -0.00002    -0.00071    -0.02288    -0.02361
     1.88141    -0.00003    -0.00084    -0.02225    -0.02312
     1.89141    -0.00003    -0.00095    -0.02155    -0.02253
     1.90141    -0.00003    -0.00103    -0.02067    -0.02173
     1.91241    -0.00003    -0.00107    -0.01952    -0.02063
     1.92241    -0.00003    -0.00107    -0.01804    -0.01915
     1.93241    -0.00003    -0.00104    -0.01627    -0.01734
     1.94241    -0.00003    -0.00097    -0.01428    -0.01528
     1.95241    -0.00003    -0.00087    -0.01216    -0.01306
     1.96241    -0.00003    -0.00074    -0.01000    -0.01077
