#K-Path          Energy     s      p      d    tot
# NKPTS & NBANDS:  19 656
# Band-Index    1
   0.57496    -20.719637  0.002  0.000  0.001  0.002
 
# Band-Index   16
   0.57496    -20.651669  0.000  0.000  0.000  0.000
   0.54025    -20.651493  0.000  0.000  0.000  0.001
   0.50553    -20.663781  0.000  0.000  0.000  0.001
   0.47082    -20.709904  0.000  0.000  0.000  0.001
   0.43610    -20.754623  0.000  0.000  0.001  0.001
   0.40139    -20.772555  0.000  0.000  0.001  0.001
   0.36667    -20.768338  0.000  0.000  0.000  0.001
   0.33196    -20.744878  0.000  0.000  0.000  0.001
   0.33196    -20.744878  0.000  0.000  0.000  0.001
   0.29145    -20.726234  0.000  0.000  0.000  0.001
   0.25095    -20.679584  0.000  0.001  0.000  0.001
   0.21045    -20.668569  0.000  0.001  0.000  0.001
   0.21045    -20.668569  0.000  0.001  0.000  0.001
   0.17538    -20.665134  0.000  0.001  0.000  0.001
   0.14030    -20.661725  0.000  0.001  0.000  0.001
   0.10523    -20.665908  0.000  0.000  0.000  0.001
   0.07015    -20.670876  0.001  0.000  0.000  0.001
   0.03508    -20.663424  0.000  0.000  0.000  0.001
   0.00000    -20.651669  0.000  0.000  0.000  0.000
 
# Band-Index   17
   0.00000    -20.527738  0.000  0.000  0.000  0.000
   0.03508    -20.511204  0.000  0.000  0.000  0.000
   0.07015    -20.500527  0.000  0.000  0.000  0.000
   0.10523    -20.531150  0.000  0.000  0.000  0.001
   0.14030    -20.567231  0.000  0.000  0.000  0.001
   0.17538    -20.583455  0.000  0.000  0.000  0.001
   0.21045    -20.585568  0.000  0.000  0.000  0.001
   0.21045    -20.585568  0.000  0.000  0.000  0.001
   0.25095    -20.629545  0.000  0.000  0.000  0.001
   0.29145    -20.610648  0.000  0.000  0.001  0.001
   0.33196    -20.580024  0.000  0.000  0.001  0.001
   0.33196    -20.580024  0.000  0.000  0.001  0.001
   0.36667    -20.544492  0.000  0.000  0.001  0.001
   0.40139    -20.504367  0.000  0.000  0.001  0.001
   0.43610    -20.494225  0.001  0.000  0.000  0.001
   0.47082    -20.516869  0.001  0.000  0.000  0.001
   0.50553    -20.526885  0.001  0.000  0.000  0.001
   0.54025    -20.524081  0.000  0.000  0.000  0.000
   0.57496    -20.527738  0.000  0.000  0.000  0.000
 
# Band-Index   18
   0.57496    -20.345245  0.000  0.000  0.000  0.001
   0.54025    -20.383854  0.000  0.000  0.000  0.001
   0.50553    -20.408253  0.000  0.000  0.000  0.001
   0.47082    -20.413289  0.000  0.000  0.000  0.001
   0.43610    -20.439654  0.000  0.000  0.000  0.001
   0.40139    -20.445395  0.000  0.001  0.000  0.001
   0.36667    -20.427694  0.000  0.001  0.000  0.001
   0.33196    -20.411196  0.000  0.001  0.000  0.002
   0.33196    -20.411196  0.000  0.001  0.000  0.002
   0.29145    -20.426801  0.000  0.001  0.000  0.001
   0.25095    -20.484604  0.000  0.001  0.000  0.001
   0.21045    -20.555776  0.000  0.000  0.000  0.000
   0.21045    -20.555776  0.000  0.000  0.000  0.000
   0.17538    -20.545825  0.000  0.000  0.000  0.001
   0.14030    -20.519623  0.000  0.000  0.000  0.001
   0.10523    -20.481236  0.000  0.000  0.000  0.001
   0.07015    -20.433940  0.000  0.000  0.000  0.001
   0.03508    -20.379495  0.000  0.000  0.000  0.001
   0.00000    -20.345245  0.000  0.000  0.000  0.001
 
# Band-Index   19
   0.00000    -20.295645  0.000  0.001  0.000  0.001
   0.03508    -20.317697  0.000  0.000  0.000  0.001
   0.07015    -20.334035  0.000  0.000  0.000  0.000
   0.10523    -20.304015  0.000  0.000  0.000  0.000
   0.14030    -20.254110  0.000  0.000  0.000  0.001
   0.17538    -20.214197  0.001  0.000  0.000  0.001
   0.21045    -20.199788  0.001  0.000  0.000  0.001
   0.21045    -20.199788  0.001  0.000  0.000  0.001
   0.25095    -20.200747  0.001  0.000  0.000  0.001
   0.29145    -20.183008  0.000  0.000  0.000  0.001
   0.33196    -20.154892  0.000  0.001  0.000  0.001
   0.33196    -20.154892  0.000  0.001  0.000  0.001
   0.36667    -20.190981  0.000  0.001  0.000  0.001
   0.40139    -20.242481  0.000  0.001  0.000  0.001
   0.43610    -20.290341  0.000  0.000  0.000  0.001
   0.47082    -20.322504  0.000  0.000  0.000  0.001
