     #Energy           s           p           d       tot  
     2.26241    -0.00235    -0.05286     0.00000    -0.05520
     2.27241    -0.00190    -0.04448     0.00000    -0.04639
     2.28241    -0.00146    -0.03546     0.00000    -0.03692
     2.29241    -0.00105    -0.02672     0.00000    -0.02777
     2.30241    -0.00072    -0.01902     0.00000    -0.01974
     2.31241    -0.00048    -0.01285     0.00000    -0.01333
     2.32241    -0.00033    -0.00843     0.00000    -0.00876
     2.33241    -0.00028    -0.00579     0.00000    -0.00607
     2.34241    -0.00033    -0.00490     0.00000    -0.00522
     2.35241    -0.00049    -0.00572     0.00000    -0.00621
     2.36241    -0.00080    -0.00829     0.00000    -0.00908
     2.37241    -0.00124    -0.01263     0.00000    -0.01388
     2.38241    -0.00183    -0.01868     0.00000    -0.02051
     2.39241    -0.00252    -0.02608     0.00000    -0.02860
     2.40241    -0.00324    -0.03416     0.00000    -0.03740
     2.41241    -0.00389    -0.04191     0.00000    -0.04580
     2.42241    -0.00436    -0.04823     0.00000    -0.05259
     2.43241    -0.00459    -0.05204     0.00000    -0.05663
     2.44241    -0.00451    -0.05273     0.00000    -0.05724
     2.45241    -0.00417    -0.05024     0.00000    -0.05441
     2.46241    -0.00362    -0.04520     0.00000    -0.04883
     2.47241    -0.00298    -0.03879     0.00000    -0.04176
     2.48241    -0.00234    -0.03239     0.00000    -0.03473
     2.49241    -0.00181    -0.02732     0.00000    -0.02913
     2.50241    -0.00145    -0.02447     0.00000    -0.02592
     2.51241    -0.00127    -0.02413     0.00000    -0.02539
     2.52241    -0.00124    -0.02597     0.00000    -0.02721
     2.53241    -0.00133    -0.02920     0.00000    -0.03053
     2.54241    -0.00147    -0.03288     0.00000    -0.03436
     2.55241    -0.00162    -0.03621     0.00000    -0.03784
     2.56241    -0.00175    -0.03867     0.00000    -0.04042
     2.57241    -0.00183    -0.04007     0.00000    -0.04190
     2.58241    -0.00186    -0.04043     0.00000    -0.04229
     2.59241    -0.00184    -0.03980     0.00000    -0.04164
