     #Energy           s           p           d       tot  
     2.12241     0.01685     2.12569     0.00000     2.14254
     2.13241     0.01748     2.15574     0.00000     2.17322
     2.14241     0.01713     2.07675     0.00000     2.09388
     2.15241     0.01575     1.91677     0.00000     1.93253
     2.16241     0.01361     1.73134     0.00000     1.74495
     2.17241     0.01113     1.58414     0.00000     1.59527
     2.18241     0.00877     1.52494     0.00000     1.53371
     2.19241     0.00686     1.57338     0.00000     1.58024
     2.20241     0.00551     1.71422     0.00000     1.71973
     2.21241     0.00470     1.90484     0.00000     1.90953
     2.22241     0.00426     2.08939     0.00000     2.09365
     2.23241     0.00404     2.21671     0.00000     2.22075
     2.24241     0.00392     2.25535     0.00000     2.25927
     2.25241     0.00385     2.19919     0.00000     2.20305
     2.26241     0.00386     2.06763     0.00000     2.07148
     2.27241     0.00396     1.89556     0.00000     1.89952
     2.28241     0.00420     1.72108     0.00000     1.72528
     2.29241     0.00457     1.57521     0.00000     1.57978
     2.30241     0.00503     1.47487     0.00000     1.47991
     2.31241     0.00555     1.42331     0.00000     1.42886
     2.32241     0.00607     1.41476     0.00000     1.42084
     2.33241     0.00655     1.43928     0.00000     1.44583
     2.34241     0.00694     1.48683     0.00000     1.49376
     2.35241     0.00719     1.54883     0.00000     1.55601
     2.36241     0.00725     1.61966     0.00000     1.62691
     2.37241     0.00712     1.69751     0.00000     1.70463
     2.38241     0.00682     1.78459     0.00000     1.79140
     2.39241     0.00640     1.88585     0.00000     1.89225
     2.40241     0.00596     2.00696     0.00000     2.01292
     2.41241     0.00558     2.15151     0.00000     2.15709
     2.42241     0.00531     2.31888     0.00000     2.32419
     2.43241     0.00519     2.50338     0.00000     2.50857
     2.44241     0.00521     2.69398     0.00000     2.69919
     2.45241     0.00534     2.87671     0.00000     2.88205
     2.46241     0.00557     3.04136     0.00000     3.04692
     2.47241     0.00588     3.18839     0.00000     3.19426
     2.48241     0.00629     3.33564     0.00000     3.34193
     2.49241     0.00685     3.51210     0.00000     3.51894
     2.50241     0.00756     3.74594     0.00000     3.75350
     2.51241     0.00839     4.04033     0.00000     4.04872
     2.52241     0.00923     4.36114     0.00000     4.37037
     2.53241     0.00991     4.63848     0.00000     4.64839
     2.54241     0.01028     4.79113     0.00000     4.80141
     2.55241     0.01024     4.76139     0.00000     4.77163
     2.56241     0.00982     4.54278     0.00000     4.55260
     2.57241     0.00915     4.18572     0.00000     4.19487
     2.58241     0.00843     3.77746     0.00000     3.78588
     2.59241     0.00781     3.40737     0.00000     3.41518
     2.60241     0.00740     3.13598     0.00000     3.14338
     2.61241     0.00718     2.97872     0.00000     2.98590
     2.62241     0.00708     2.91287     0.00000     2.91994
     2.63241     0.00700     2.89419     0.00000     2.90119
     2.64241     0.00687     2.87929     0.00000     2.88615
     2.65241     0.00666     2.84087     0.00000     2.84753
     2.66241     0.00640     2.77385     0.00000     2.78026
     2.67241     0.00614     2.69152     0.00000     2.69766
     2.68241     0.00594     2.61562     0.00000     2.62155
     2.69241     0.00582     2.56502     0.00000     2.57084
     2.70241     0.00582     2.54801     0.00000     2.55383
     2.71241     0.00591     2.56074     0.00000     2.56664
     2.72241     0.00609     2.59014     0.00000     2.59622
     2.73241     0.00633     2.62105     0.00000     2.62737
     2.74241     0.00661     2.63880     0.00000     2.64541
