#K-Path          Energy     s      p      d    tot
# NKPTS & NBANDS:  19 656
# Band-Index    1
   0.47082    -19.378304  0.028  0.012  0.000  0.042
   0.50553    -19.309114  0.040  0.011  0.000  0.053
   0.54025    -19.253897  0.046  0.007  0.000  0.054
   0.57496    -19.237932  0.048  0.004  0.000  0.052
 
# Band-Index   26
   0.57496    -19.074793  0.049  0.007  0.000  0.054
   0.54025    -19.111932  0.038  0.010  0.000  0.047
   0.50553    -19.168852  0.028  0.009  0.000  0.036
   0.47082    -19.223501  0.021  0.007  0.000  0.027
   0.43610    -19.298512  0.014  0.004  0.000  0.018
   0.40139    -19.293160  0.010  0.004  0.000  0.014
   0.36667    -19.237931  0.007  0.004  0.000  0.013
   0.33196    -19.201634  0.013  0.003  0.000  0.017
